Perioden	Regio's	Verkeer en vervoer/Motorvoertuigen/Personenauto's (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Bedrijfsmotorvoertuigen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (aantal)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (%) (per 1 000 inwoners)	Verkeer en vervoer/Lengte van wegen/Totale weglengte (kilometer)	Verkeer en vervoer/Lengte van wegen/Gemeentelijke en waterschapswegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Provinciale wegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Rijkswegen (kilometer)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpraktijk (km)	Nabijheid voorzieningen/Gezondheid/Aantal huisartsenpraktijken binnen 3 km (aantal)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpost (km)	Nabijheid voorzieningen/Gezondheid/Afstand tot ziekenhuis (km)	Nabijheid voorzieningen/Gezondheid/Aantal ziekenhuizen binnen 20 km (aantal)	Nabijheid voorzieningen/Kinderopvang/Afstand tot kinderdagverblijf (km)	Nabijheid voorzieningen/Kinderopvang/Aantal kinderdagverblijven binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school basisonderwijs (km)	Nabijheid voorzieningen/Onderwijs/Aantal basisonderwijsscholen binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school vmbo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen vmbo binnen 5 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school havo/vwo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen havo/vwo binnen 5 km (aantal)	Nabijheid voorzieningen/Detailhandel/Afstand tot grote supermarkt (km)	Nabijheid voorzieningen/Detailhandel/Aantal grote supermarkten binnen 3 km (aantal)	Nabijheid voorzieningen/Horeca/Afstand tot restaurant (km)	Nabijheid voorzieningen/Horeca/Aantal restaurants binnen 3 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bibliotheek (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bioscoop (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Aantal bioscopen binnen 10 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot zwembad (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot sportterrein (km)	Nabijheid voorzieningen/Groenvoorzieningen/Afstand tot openbaar groen (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot treinstation (km)	Milieu en bodemgebruik/Afval van huishoudens/Totaal huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Grof huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Gft-afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Oud papier en karton (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Verpakkingsglas (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Textiel (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Klein chemisch afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Overig huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Totale oppervlakte (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Water totaal (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Binnenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Buitenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Omgevingsadressendichtheid (per km²)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Verkeersterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Semi-bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Recreatieterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Agrarisch terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bos en open natuurlijk terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Verkeersterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Semi-bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Recreatieterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Agrarisch terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bos en open natuurlijk terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Verkeersterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Semi-bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Recreatieterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Agrarisch terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bos en open natuurlijk terrein (ha / 1 000 inwoners)
2008	Borsele	11152	495	10811	480	2244	1301	58	1304	58	574	525	49	0	1	1	9	9	1.2			0.7	2.3	9.2	0.2	9.3	0.2	1.2	0.9	2	2	4.1	20.1	0	6.2	1.1	1.3	1.6	8.8	18140	5131	1384	3512	1750	394	63	40	5866	194.42	142.03	52.39	0.81	51.58	279	711	839	436	113	11834	236	5	5.9	3.1	0.8	83.5	1.7	32	37	19	5	525	10
2009	Borsele	11541	512	10973	487	2407	1357	60	1377	61	575	526	49	0	1	1		9	1.2	3.6	0.5	0.7	2.3	9.2	0.2	9.4	0.2	1.2	0.9	2	2.2	4	9.2	0.5	6.2			1.6	8.8	17732	5087	1147	3478	1883	382	58	42	5655	194.42	141.8	52.62	0.84	51.78	280																		
2010	Borsele	11588	512	11219	496	2366	1365	60	1450	64	577	528	49	0	1	1.1		9	1.2	3.4	0.5	0.7	2.4	9.2	0.2	9.4	0.2	1.2	0.9	2	2		9.2	0.5	6.2	1.2	0.9	1.6	8.8	17230	5158	1132	3360	1939	395	60	35	5152	194.42	141.8	52.62	0.84	51.78	285	693	902	388	114	11815	257	4.9	6.4	2.7	0.8	83.4	1.8	31	40	17	5	522	11
2007	Boskoop	6331	416	5931	390	1404	670	44	756	50	72	64	8	0	1.3	5.9	8.7	8.7	7.4	2.8	0.6	0.9	7	1.7	1.9	2.3	1.8					1.5						0.9	1.8	9103	3570	730	1575	1479	353	52	21	1323	16.96	14.85	2.11	2.11	0	778																		
2008	Boskoop	6409	421	6030	396	1343	689	45	876	58	73	64	8	0	1.1	5.5	8.7	8.7	7.7			0.9	7	1.7	1.9	2.3	1.8	0.7	4.9	1.3	7.9	1.5	8	3.2	4.7	1.8	1	0.9	1.8	8743	3489	714	1554	1301	394	39	19	1233	16.96	14.85	2.11	2.11	0	779	69	183	4	17	1212	2	4.7	12.3	0.2	1.2	81.5	0.2	5	12	0	1	80	0
2009	Boskoop	6514	430	6132	405	1316	691	46	966	64	73	65	8	0	1.3	3.4		8.7	7.8	1.5	1.8	0.9	7	1.7	1.9	2.3	1.8	0.7	4.9	1.3	6.9	1.5	8	3.2	4.7			0.9	1.9	9156	4003	585	1541	1211	410	51	13	1342	16.96	14.86	2.1	2.1	0	782																		
2010	Boskoop	6556	434	6177	409	1321	720	48	1057	70	73	65	8	0	1.3	3.4		8.7	7.8	1.4	1.9	0.9	7	1.7	1.9	2.3	1.8	0.7	4.9	1.3	6.9		8	3.2	4.6	1.7	0.9	0.9	1.9	8433	3346	528	1618	1148	483	52	15	1244	16.96	14.86	2.1	2.1	0	784	72	177	4	22	1207	2	4.9	11.9	0.2	1.5	81.3	0.2	5	12	0	1	80	0
2007	Boxmeer	13355	465	12705	442	2177	1278	44	1057	37	426	393	5	28	1.1	3.1	4.1	4	2.1	1.9	1.8	0.7	4.8	3.4	1.3	3.4	1.3					1.7						2.2	2.7	20613	2225	691	5074	2608	766	175	31		113.95	111.54	2.4	2.4	0	582																		
2008	Boxmeer	13411	468	12799	447	2211	1289	45	1100	38	426	393	5	28	1.1	3.1	4.2	4.1	2.1			0.7	4.8	3.4	1.3	3.4	1.3	1.2	2.9	1	5.8	1.7	13.4	0.2	3.2	0.9	0.7	2.2	2.7	18142	2168	721	4964	2012	778		31	7280	113.95	111.54	2.4	2.4	0	584	361	767	85	151	8191	1597	3.2	6.9	0.8	1.4	73.4	14.3	13	27	3	5	286	56
2009	Boxmeer	13602	475	13024	455	2238	1314	46	1161	41	425	392	5	28	1.1	3.1		4.1	2.1	1.5	1.9	0.7	4.8	3.4	1.3	3.4	1.3	1.2	2.9	1	5.8	1.7	13.4	0.2	3.2			2.2	2.7	17923	1844	656	4965	2295	782	166	36	7179	113.95	111.53	2.42	2.42	0	600																		
2010	Boxmeer	13693	479	13177	461	2223	1363	48	1234	43	425	392	5	28	1.1	3		4.1	2	1.5	1.5	0.7	4.8	3.4	1.3	3.4	1.3	1.2	2.9	1	5.3		13.7	0.2	3.1	0.9	0.6	2.2	2.7	17864	1654	674	4744	2199	784		46	7582	113.95	111.53	2.42	2.42	0	593	364	804	62	152	8177	1591	3.3	7.2	0.6	1.4	73.3	14.3	13	28	2	5	286	56
2007	Boxtel	13144	438	12022	401	2168	1133	38	1625	54	304	283	3	18	1	4	14	13.3	5.3	0.8	3.4	0.7	6.4	2.3	0.9	2	1					2						1.7	2.4	19890	6863	1850	2790	2360	592	148	60	5226	64.77	63.69	1.08	1.08	0	1040																		
2008	Boxtel	13459	445	12297	407	2242	1167	39	1605	53	304	283	3	18	1	4.1	14	13.2	5.3			0.7	6.4	2.3	0.9	2	1	0.9	4.9	0.8	19.6	2	9.3	0.9	8.6	1	0.7	1.7	2.3	19114	6692	1870	2692	2177	612	136	60	4875	64.77	63.69	1.08	1.08	0	1086	271	675	21	126	3637	1639	4.3	10.6	0.3	2	57.1	25.7	9	22	1	4	120	54
2009	Boxtel	13674	452	12500	413	2246	1238	41	1698	56	304	283	3	18	1	4.1		13.2	5.3	0.7	5.1	0.6	6.4	2.3	0.9	2	1	0.9	4.9	0.8	19.6	2	9.3	0.9	8.6			1.7	2.3	19348	6815	1806	2646	2100	542	124	58		64.77	63.68	1.09	1.09	0	1078																		
2010	Boxtel	13769	455	12691	419	2180	1291	43	1800	59	305	284	3	18	1	4.1		13.2	5.3	0.7	5	0.7	6.4	2.3	0.9	2	1	0.9	4.9	0.8	20.4		9.4	0.9	8.4	1.2	0.6	1.7	2.3	18428	6349	1580	2494	2308	640		54		64.77	63.68	1.09	1.09	0	1091	271	682	32	123	3624	1635	4.3	10.7	0.5	1.9	56.9	25.7	9	23	1	4	120	54
2007	Brakel																																																																							
2008	Brakel																																																																							
2009	Brakel																																																																							
2010	Brakel																																																																							
2007	Breda	133746	785	68180	400	17889	4803	28	5477	32	989	920	3	67	0.7	11.2	4.1	3.3	3.1	0.7	12.2	0.6	10.1	1.4	7.7	1.8	4.6					1.2						2.5	2.9	116131	41568	7430	13064	14166	4239	600	279	34785	129.15	126.78	2.38	2.38	0	1875																		
2008	Breda	139327	815	69201	405	18252	4998	29	6046	35	992	922	3	67	0.7	10.3	4	3.3	3.1			0.6	10.1	1.4	7.7	1.8	4.6	0.7	10.3	0.6	51	1.2	3.2	2	8.1	0.9	0.5	2.5	2.9	112444	41891	4879	11926	14349	4386	569	282	34162	129.15	126.78	2.38	2.38	0	1895	863	3518	343	556	5941	1429	6.8	27.8	2.7	4.4	47	11.3	5	21	2	3	35	8
2009	Breda	142683	830	70253	409	18404	5150	30	6627	39	1002	933	3	67	0.7	10.1		3.2	3.1	0.7	13.6	0.6	10.1	1.4	6.8	1.8	5.3	0.7	10.5	0.6	51.5	1.2	3.2	2	8.2			2.5	2.9	105653	39601	3770	12058	13161	4487	544	235	31797	129.15	126.63	2.52	2.52	0	1871																		
2010	Breda	140070	808	71574	413	17815	5317	31	7249	42	1003	933	3	67	0.8	8.8		3.2	3.1	0.7	14.4	0.6	10.1	1.4	6.8	1.8	5.3	0.7	10.3	0.6	56.2		3.2	3	8.1	0.8	0.5	2.5	2.9	100774	39830	3289	10839	13940	4196	569	233	27878	129.15	126.63	2.52	2.52	0	1885	856	3528	276	618	5943	1429	6.8	27.9	2.2	4.9	47	11.3	5	20	2	4	34	8
2007	Brederwiede																																																																							
2008	Brederwiede																																																																							
2009	Brederwiede																																																																							
2010	Brederwiede																																																																							
2007	Breukelen	6555	448	6227	426	957	550	38	465	32	146	119	12	15	1.5	1.6	11.1	11.8	7.2	2.1	2.1	0.9	3.5	2.4	0.8	2.7	0.7					1.6						1.2	3	8906	3565	698	1735	840	322	63	20		48.65	44.44	4.21	4.21	0	669																		
2008	Breukelen	6654	453	6311	430	982	561	38	541	37	146	119	12	15	1.4	1.6	11.1	11.8	7.2			0.9	3.5	2.4	0.8	2.7	0.7	1	2.3	1.1	8.2	1.5	12.5	0.2	1.5	0.8	1.5	1.2	2.9	8823	3619	624	1477	837	322	78	17		48.65	44.44	4.21	4.21	0	663	223	295	78	83	3696	69	5	6.6	1.8	1.9	83.2	1.5	15	20	5	6	252	5
2009	Breukelen	6689	456	6341	433	1039	579	40	630	43	146	119	12	15	1.4	1.6		11.8	7.2	2.4	1.4	0.8	3.5	2.4	0.8	2.7	0.7	1	2.3	1.3	8.3	1.5	12.5	0.2	1.5			1.2	2.9	8550	3506	568	1365	745	306	57	27		48.65	44.44	4.2	4.2	0	666																		
2010	Breukelen	6773	463	6406	438	1017	586	40	744	51	144	118	12	15	1.4	1.6		11.8	7.2	2.4	1.4	0.8	3.5	2.4	0.8	2.7	0.7	1.1	2.3	1.3	9		13	0	1.5	0.8	0.8	1.2	2.9										48.65	44.44	4.2	4.2	0	669	207	297	99	86	3686	65	4.7	6.7	2.2	1.9	83	1.5	14	20	7	6	252	4
2007	Brielle	7652	481	7302	459	1095	713	45	695	44	162	140	16	7	1.2	3.3	9.2	14.8	2	2	0.8	0.7	4.6	1.7	3.5	1.9	0.9					2						0.9	11.6	10807	3812	1463	2375	805	313		33		31.12	27.51	3.61	3.61	0	795																		
2008	Brielle	7705	489	7314	464	1097	733	47	811	51	165	142	16	7	1.2	3.3	9.2	14.8	2			0.8	4.6	1.7	3.5	1.9	0.9	0.8	2.8	0.9	13.3	2	8.5	1	2.2	0.8	0.8	0.9	11.6	10488	3806	1527	1607	909	349		27		31.12	27.51	3.61	3.61	0	797	160	274	66	282	1917	56	5.8	9.9	2.4	10.2	69.6	2	10	17	4	18	122	4
2009	Brielle	7866	504	7370	473	1141	706	45	924	59	165	142	16	7	1.2	3.3		14.8	1.1	1.7	1.6	0.8	4.6	1.7	3.5	1.9	0.9	0.8	2.8	0.9	13.4	2	8.5	1	2.2			0.9	11.6	11393	4237	1572	1518	1189	322		22	2472	31.12	27.53	3.58	3.58	0	777																		
2010	Brielle	8035	510	7517	477	1106	738	47	1034	66	165	142	16	7	1.2	2.5		14.8	1.1	1.7	1.6	0.8	4.6	1.7	3.5	1.9	0.9	0.6	3.6	0.9	14		8.5	1	2.2	0.7	0.6	0.9	11.5	9949	3840	1416	1505	841	397		17		31.12	27.53	3.58	3.58	0	842	157	276	75	270	1925	56	5.7	10	2.7	9.8	69.8	2	10	18	5	17	122	4
2007	Broekhuizen																																																																							
2008	Broekhuizen																																																																							
2009	Broekhuizen																																																																							
2010	Broekhuizen																																																																							
2007	Bronckhorst	18668	494	17945	475	3318	2603	69	1702	45	925	845	80	0	1.8	1.9	8.2	8.3	2.3	2.2	0.7	0.9	3	5.7	0.3	8.1	0.1					2.9						1	6.2	20070	8141	360	6453	3049	802	107	26	1132	286.41	283.59	2.82	2.82	0	331																		
2008	Bronckhorst	18920	500	18184	481	3392	2652	70	1798	48	926	846	80	0	1.8	1.8	8.2	8.3	2.3			0.9	3	5.7	0.3	8.1	0.1	1.7	1.9	1.3	2.8	2.9	9.6	0.6	3.8	1.4	0.8	1	6.2	20976	7735	368	6570	3332	972		24		286.41	283.59	2.82	2.82	0	341	680	785	115	394	22914	3467	2.4	2.8	0.4	1.4	80.8	12.2	18	21	3	10	606	92
2009	Bronckhorst	19297	509	18558	490	3411	2747	72	1976	52	927	848	80	0	1.7	1.8		8.3	2.3	2.2	0.9	0.9	3	5.7	0.3	8.1	0.1	1.6	2.1	1.3	3.3	2.7	9.6	0.6	5.4			1	6.2		7710		6358	3210	925	113	23		286.41	283.55	2.86	2.86	0	345																		
2010	Bronckhorst	19548	518	18827	499	3417	2735	72	2194	58	932	852	80	0	1.7	1.8		8	2.3	2	1.1	0.9	3	5.7	0.3	8.1	0.1	1.6	2.1	1.3	3.3		9.6	0.6	5.4	1.5	0.6	1	6.2	18895	7261	110	6167	2912	899	162	28		286.41	283.55	2.86	2.86	0	347	683	794	139	384	22861	3486	2.4	2.8	0.5	1.4	80.6	12.3	18	21	4	10	606	92
2007	Brouwershaven																																																																							
2008	Brouwershaven																																																																							
2009	Brouwershaven																																																																							
2010	Brouwershaven																																																																							
2007	Bruinisse																																																																							
2008	Bruinisse																																																																							
2009	Bruinisse																																																																							
2010	Bruinisse																																																																							
2007	Brummen	9790	461	9440	445	1568	1120	53	965	45	275	253	22	0	1.2	2.7	11.3	10.7	4.1	1.3	1	0.7	5.5	7.7	0	9.8	0					1.3						1.2	4.5	9508	3666	453	2023	1823	557	117	36	833	85.1	84.05	1.05	1.05	0	658																		
2008	Brummen	9887	466	9508	448	1558	1139	54	1001	47	280	259	22	0	1.1	2.7	11.3	10.7	4.1			0.7	5.6	7.7	0	9.8	0	1	3.2	0.8	6.2	1.3	9.8	1	3.5	1.1	0.5	1.2	4.5	9383	3656	474	1974	1881	552	111	31	705	85.1	84.05	1.05	1.05	0	667	221	536	33	163	5952	1498	2.6	6.4	0.4	1.9	70.8	17.8	10	25	2	8	281	71
2009	Brummen	10073	476	9662	457	1473	1156	55	1044	49	284	262	22	0	1.1	2.7		10.6	3.4	1.3	1	0.7	5.6	7.7	0.1	9.7	0	1	3.2	0.8	5.8	1.3	9.8	1	3.4			1.2	4.5	9087	3584	359	2028	1762	528	104	26	696	85.1	84.03	1.07	1.07	0	675																		
2010	Brummen	10212	483	9787	463	1448	1173	55	1066	50	285	264	21	0	1.1	2.8		10.4	3.4	1.2	1.2	0.7	5.6	7.7	0.1	9.7	0	1	3.2	0.8	5.8		9.8	1	3.4	1.1	0.4	1.2	4.5	8685	3289	299	1869	1713	583	101	26	805	85.1	84.03	1.07	1.07	0	690	221	538	45	164	5915	1518	2.6	6.4	0.5	2	70.4	18.1	10	25	2	8	280	72
2007	Brunssum	13651	461	13422	454	1236	1151	39	1835	62	141	138	3	0	0.7	9	9.9	2.1	4	1.1	2.7	0.6	11.9	1.4	3.9	1.4	2.7					1.3						1.3	6.2	16622	7232	849	2935	1948	559	167	39	2892	17.29	17.16	0.13	0.13	0	1540																		
2008	Brunssum	14046	472	13802	464	1247	1196	40	1969	66	141	138	3	0	0.7	9.1	9.9	2.2	4			0.6	12	1.4	3.9	1.4	2	0.6	10.3	0.6	23.3	1.3	7.2	4.3	1.6	0.6	0.4	1.3	6.2	16953	7620	861	2839	1973	579	176	36	2870	17.29	17.16	0.13	0.13	0	1553	55	764	159	175	186	377	3.2	44.5	9.2	10.2	10.8	22	2	26	5	6	6	13
2009	Brunssum	14159	479	13911	471	1237	1231	42	2092	71	142	139	3	0	0.8	9.2		2.2	4	1.3	3.5	0.6	11.8	1.5	3	1.4	2	0.6	11.1	0.6	23.3	1.4	7.2	4.3	1.6			1.3	6.2	15044	5527	849	2307	2270	722	162	39	3168	17.29	17.16	0.13	0.13	0	1561																		
2010	Brunssum	14362	488	14118	479	1230	1264	43	2193	74	142	138	4	0	0.8	8.3		2.2	4	1.3	2.9	0.6	11.8	1.5	3	1.4	2	0.6	11.1	0.6	22.6		7.2	3.3	1.6	0.6	0.4	1.1	6.2	14398	5449	828	2021	2149	696	170	36	3049	17.29	17.16	0.13	0.13	0	1557	55	752	159	193	179	379	3.2	43.8	9.3	11.2	10.4	22.1	2	26	5	7	6	13
2007	Budel																																																																							
2008	Budel																																																																							
2009	Budel																																																																							
2010	Budel																																																																							
2007	Bunnik	6840	483	5978	422	1177	462	33	457	32	134	103	22	9	0.8	2.1	5.7	5.4	9.6	1.1	3.5	0.7	3.7	4.4	1.8	4.4	1.6					0.8						0.8	2.5	8637	2846	992	1833	1138	336	66	23	1403	37.57	36.95	0.62	0.62	0	587																		
2008	Bunnik	7041	494	6099	428	1141	483	34	520	36	134	103	22	9	0.9	2.1	5.7	5.4	9.6			0.7	3.7	4.4	1.8	4.4	1.6	0.7	1.8	1.1	6.3	2.8	5.2	4.9	2.8	0.7	0.7	0.8	2.5	8759	2873	934	1842	1266	371	55	28	1390	37.57	36.95	0.62	0.62	0	600	140	352	4	114	2893	192	3.8	9.5	0.1	3.1	78.3	5.2	10	25	0	8	203	13
2009	Bunnik	7147	496	6184	429	1089	506	35	610	42	135	103	22	9	0.9	2.1		5.4	9.6	1.1	3.6	0.7	3.7	4.4	1.7	4.4	1.6	0.7	1.8	1.1	6.3	2.8	5.2	4.8	2.8			0.8	2.5	8472	2788	862	1843	1168	340	74	15		37.57	36.95	0.62	0.62	0	601																		
2010	Bunnik	7239	501	6264	433	1085	526	36	681	47	136	104	22	9	0.8	2.1		5.4	9.5	1.2	3.5	0.7	3.7	4.4	1.8	4.4	1.6	0.7	1.8	1.1	6.3		4.8	5.8	2.8	0.7	0.7	0.8	2.5	8469	2675	823	1801	1134	388	73	26	1549	37.57	36.95	0.62	0.62	0	602	141	351	7	115	2890	195	3.8	9.5	0.2	3.1	78.1	5.3	10	24	0	8	200	13
2007	Bunschoten	7790	400	7132	366	1486	465	24	1367	70	122	112	9	1	0.8	4.7	12.6	9.2	6	1	1.9	0.5	10.6	1.4	1	1.4	1					1.4						1.8	8.9		4239	1692	1678		389		36		34.88	30.51	4.36	4.36	0	966																		
2008	Bunschoten	7931	404	7242	369	1540	475	24	1473	75	122	112	9	1	0.8	4.7	12.4	9.2	6			0.5	10.6	1.4	1	1.4	1	0.8	3.8	1	13.3	1.4	11.2	0.1	1.8	0.8	0.7	1.8	8.9	13466	4335	1455	1729	1373	349		26	4094	34.88	30.51	4.36	4.36	0	997	76	402	14	52	2491	14	2.5	13.2	0.5	1.7	81.7	0.4	4	20	1	3	127	1
2009	Bunschoten	8076	409	7364	373	1575	500	25	1617	82	122	113	9	1	0.8	4.7		9.2	6	0.9	2.9	0.5	10.6	1.7	1	1.7	1	0.9	3.8	1	13.3	1.5	11.3	0	1.8			1.8	8.9	13436	4348	1465	1642	1350	411		22		34.88	30.5	4.38	4.38	0	1035																		
2010	Bunschoten	8267	413	7560	378	1580	514	26	1736	87	124	115	9	1	0.8	4.7		9.2	6	0.9	2.9	0.5	10.6	1.4	1	1.4	1	0.8	4.7	1	13.3		11.3	0	1.8	0.8	0.7	1.9	9	12597	3952	1430	1508	1104	429	37	25	4112	34.88	30.5	4.38	4.38	0	1036	76	399	32	56	2473	12	2.5	13.1	1	1.8	81.1	0.4	4	20	2	3	124	1
2007	Buren	12967	506	12408	484	2873	1241	48	1660	65	464	418	45	1	1.7	1.1	9.9	10	1.4	2.9	0.5	0.9	2.6	6.4	0.4	6.6	0.3					5.3						1.2	7.2	13880	6147	505	2790	1929	479	119	35	1876	142.93	134.37	8.56	8.56	0	235																		
2008	Buren	13293	517	12685	493	2960	1304	51	1645	64	464	418	45	1	1.7	1	9.9	10	1.4			0.9	2.6	6.3	0.4	6.6	0.3	1.5	1.1	1.3	2.7	5.3	10	0.5	5	1.3	1.5	1.2	7.2	13631	6080	467	2559	1918	489	117	35	1966	142.93	134.37	8.56	8.56	0	238	497	517	79	398	11682	261	3.7	3.8	0.6	3	87	1.9	19	20	3	15	454	10
2009	Buren	13546	528	12931	504	3100	1341	52	1796	70	464	418	45	1	1.7	1		10	1.4	2.9	0.6	0.9	2.6	6.4	0.4	6.6	0.3	1.5	1.3	1.2	2.8	5.3	10	0.5	5			1.2	7.1	13329	5790	450	2640	1798	485	108	35	2023	142.93	134.34	8.6	8.6	0	238																		
2010	Buren	13737	531	13128	507	3023	1385	54	1915	74	466	420	45	1	1.7	1		10	1.4	1.7	0.9	0.9	2.6	6.3	0.4	6.5	0.4	1.4	1.3	1.2	2.8		9.9	0.5	5	1.2	1.3	1.2	7.2	13418	5672	455	2558	1803	493	126	34	2277	142.93	134.34	8.6	8.6	0	242	394	540	71	503	11641	284	2.9	4	0.5	3.7	86.7	2.1	15	21	3	19	450	11
2007	Bussum	13941	445	12920	413	1121	913	29	982	31	109	106	2	0	0.6	14.5	3.3	3.3	5.2	0.6	11.4	0.5	13.4	1.2	4.9	1.3	3.8					1.3						1.4	1.4	18684	7647	1223	3160	1947	888	177	52	3590	8.11	8.06	0.05	0.05	0	2192																		
2008	Bussum	14165	447	13135	414	1116	930	29	1053	33	108	106	2	0	0.6	12.7	3.3	3.3	5.2			0.5	13.4	1.2	4.9	1.3	3.8	0.5	11.6	0.7	47.7	1.3	1.5	5	1.6	0.6	0.5	1.4	1.4	18528	7447	1156	3152	2193	889	184	51	3457	8.11	8.06	0.05	0.05	0	2220	41	544	16	61	40	103	5.1	67.6	2	7.6	5	12.7	1	17	1	2	1	3
2009	Bussum	14093	441	13254	414	1114	948	30	1190	37	109	106	2	0	0.6	12.7		3.3	5.2	0.6	14.5	0.5	14.4	1.2	4.9	1.3	3.8	0.5	11.6	0.7	49	1.3	1.5	5	1.6			1.4	1.4	18061	7327	1013	3130	2156	889	176	51	3320	8.11	8.04	0.06	0.06	0	2225																		
2010	Bussum	14264	444	13415	418	1088	979	30	1372	43	109	106	2	0	0.6	12.7		3.3	5.2	0.5	13.6	0.4	14.4	1.2	4.8	1.3	3.7	0.5	11	0.7	49.1		1.5	5	1.7	0.6	0.5	1.4	1.4	17395	6936	960	2970	2090	915	180	52	3294	8.11	8.04	0.06	0.06	0	2234	41	543	17	60	40	102	5.1	67.6	2.1	7.5	5	12.7	1	17	1	2	1	3
2007	Capelle aan den IJssel	28217	432	24708	378	2612	1574	24	2080	32	212	209	0	3	0.7	7.3	3.3	3.3	14.1	0.6	11.3	0.6	12.6	1.5	11.1	1.7	5.4					1.3						2	3.1	38587	23459	3286	2853	3104	1064		72		15.42	14.3	1.13	1.13	0	2172																		
